name,type,score,score_num
木筏求生,游戏,0,0
海绵宝宝海底冒险,游戏,2,10
前线打击,游戏,0,0
恐龙大作战,游戏,0,0
我的口袋世界,游戏,2.5,67
丛林恐龙恐怖攻击3D,游戏,0,1
超级英雄：蜘蛛侠,游戏,0,1
JJ斗地主,游戏,4.5,1508
青云诀,游戏,1.5,2294
YAO,时尚购物,0,0
IGXE,娱乐消遣,0,0
MORE,体育运动,0,0
搜航,效率办公,0,2
VART,新闻资讯,4.5,43
AnMo,影音视听,0,0
印,摄影摄像,0,0
DBA,实用工具,0,0
佛经,图书阅读,5,356
Owhat,聊天社交,4.5,120
每市,实用工具,0,4
Aikee,居家生活,0,0
52车,居家生活,0,0
伊对,聊天社交,5,3123
Yooul,聊天社交,0,0
ABM,实用工具,0,0
加佳游,旅行交通,0,0
佛历,居家生活,0,4
大麦,居家生活,1.5,1846
边粉,时尚购物,0,0
Inker,娱乐消遣,0,0
oriori,体育运动,0,0
葩趣,聊天社交,3,6
柚几,时尚购物,0,0
裕客,时尚购物,0,0
易信,聊天社交,4.5,6536
蚁讯,效率办公,0,0
火抱,时尚购物,0,0
95分,时尚购物,0,0
KOOKY,摄影摄像,0,0
创学,图书阅读,0,0
pacer,体育运动,0,0
方糖,聊天社交,0,0
UNI2K,实用工具,0,0
CamHi,摄影摄像,2,30
nian,效率办公,0,0
qico,实用工具,0,0
PSK,聊天社交,0,0
316,时尚购物,0,2
糖,娱乐消遣,0,0
ZAI,旅行交通,0,0
越郁,游戏,0,0
见,游戏,4.5,14
讨价网,居家生活,0,0
饿了么,居家生活,5,66267
飞常准,旅行交通,4,2134
迪浪OA,效率办公,0,0
大家链,聊天社交,0,0
GG租号,实用工具,5,446
占心,娱乐消遣,2.5,9
鞭打,娱乐消遣,0,0
糖浆,娱乐消遣,0,0
Triporg,旅行交通,5,502
呗音,聊天社交,0,0
彩视,摄影摄像,4.5,3370
神佑,旅行交通,0,0
UA Run,体育运动,0,4
iBuick,旅行交通,0,2
抖仓,时尚购物,0,0
动吧,体育运动,0,0
绚星,学习教育,3.5,25
麦起,居家生活,0,0
庄主,时尚购物,0,0
米庄,金融理财,5,1842
盼她,时尚购物,0,1
直得,时尚购物,0,0
比记,聊天社交,0,0
转角,聊天社交,0,0
HFK,影音视听,0,0
NCX,实用工具,0,0
See,聊天社交,0,0
BAN,体育运动,0,1
MTR,实用工具,0,0
WKG,体育运动,0,0
掼蛋,游戏,3,251
糖糖圈,医疗健康,4.5,162
掌中投,金融理财,5,1309
帮帮虎,时尚购物,0,0
剧能玩,图书阅读,4.5,5289
红包袋,金融理财,5,616
荧光棒,居家生活,0,0
真融宝,金融理财,4,449
去钓鱼,聊天社交,0,0
星云销,实用工具,0,0
58同城,居家生活,4.5,37495
EnjoyCar,旅行交通,5,404
DJI Mimo,摄影摄像,0,0
答妹,学习教育,0,0
虎嗅,新闻资讯,5,671
跑客,医疗健康,0,0
云客,效率办公,0,4
e家安,居家生活,0,3
DJI Fly,摄影摄像,0,0
勒铭,聊天社交,0,0
CamEye,实用工具,0,1
东客,居家生活,0,0
京粉,时尚购物,1,59
知唔,聊天社交,0,0
KUASDU,居家生活,0,0
流书,图书阅读,0,0
My0511,聊天社交,2.5,13
特炫,摄影摄像,0,0
爪玩,聊天社交,0,0
球运,体育运动,0,0
往约,医疗健康,5,403
微度,时尚购物,0,0
微住,居家生活,0,0
wmpbox,摄影摄像,0,0
知解,时尚购物,0,0
唤境,聊天社交,0,0
小特,旅行交通,0,0
喜领,时尚购物,0,0
后台,聊天社交,0,0
音派,聊天社交,0,0
约单,聊天社交,4.5,6966
指约,聊天社交,0,0
行者,体育运动,2.5,1908
嘎舞,体育运动,0,0
饭角,图书阅读,0,0
多锐,体育运动,2,110
快秀,摄影摄像,4.5,64
桂聘,实用工具,0,2
28TMS,旅行交通,0,0
域鉴,时尚购物,0,0
C 网,居家生活,0,0
HOP,效率办公,0,0
Hily,聊天社交,0,0
iApp,实用工具,0,1
LOHO,体育运动,0,0
LIF,医疗健康,0,0
Q家,摄影摄像,0,0
temi,聊天社交,0,0
VSCO,摄影摄像,5,2487
FAMAR,体育运动,0,0
仙缘剑,游戏,0,0
Ins,影音视听,2,45
胭脂妃,游戏,0,0
E7,影音视听,0,0
猎人,游戏,0,0
99.99%,游戏,3.5,64
闪电盒子,实用工具,3,1443
InterGroup,新闻资讯,0,0
康美日记,体育运动,0,0
WellFit Pro,体育运动,0,0
快消宝,效率办公,0,2
考药狮,学习教育,3.5,6
立刻说,学习教育,0,2
易点药,医疗健康,0,0
自由找,效率办公,0,2
卓企汇,居家生活,0,0
济企通,聊天社交,0,0
卡拉易,旅行交通,0,0
长城易,金融理财,0,2
MC喊麦,影音视听,0,3
欣易联,实用工具,0,0
借钱王,金融理财,0,0
众球友,体育运动,0,0
优号租,实用工具,0,0
游买卖,实用工具,0,0
藏书馆,图书阅读,3,1091
时光网,居家生活,4.5,916
去海外,居家生活,0,0
丢碟,影音视听,0,0
亿邦,新闻资讯,4.5,168
一讯,新闻资讯,0,0
IPC360,影音视听,0,0
可盈,效率办公,0,0
PP停车,旅行交通,3,43
会享,效率办公,5,21
PICOOC,医疗健康,4.5,707
小末,影音视听,0,0
见圳,新闻资讯,0,4
闻海,新闻资讯,0,0
学信,学习教育,1.5,18
遇梦,影音视听,0,0
e养车,旅行交通,4.5,24
亿盈,效率办公,0,0
余音,影音视听,4,543
甯宓,体育运动,0,0
游否,摄影摄像,0,0
网鱼,实用工具,0,0
Select,聊天社交,0,1
乐影,摄影摄像,0,0
驾历,旅行交通,0,0
开信,聊天社交,0,0
香佣,时尚购物,0,0
闲聊,聊天社交,0,0
FINDME,实用工具,0,0
猪圈,聊天社交,0,0
好旦,聊天社交,0,1
闪语,聊天社交,0,0
康宝,体育运动,0,0
掌康,医疗健康,0,0
闪聚,聊天社交,0,0
陪我,聊天社交,0,0
智选,时尚购物,0,0
觅跑,体育运动,0,3
陌声,聊天社交,5,1225
末日围城,游戏,3.5,102
莱信,聊天社交,0,0
圈游,图书阅读,3.5,5
哔啵,时尚购物,0,0
快快,居家生活,0,0
秒寻,时尚购物,0,0
享播,实用工具,0,0
秀文,图书阅读,0,0
宜伊,医疗健康,0,0
Doing,效率办公,0,0
房鹊,居家生活,0,0
夜色,聊天社交,0,0
音淘,聊天社交,0,0
2496,影音视听,4.5,7
TOPYS,图书阅读,0,0
17Hi,娱乐消遣,0,3
极风,金融理财,0,0
一幅,摄影摄像,0,0
剪映,摄影摄像,5,5
MAKA,效率办公,4.5,625
鼎刷,金融理财,0,3
ICIS,新闻资讯,0,0
喜合,聊天社交,0,0
FIKER,体育运动,0,0
有影,图书阅读,0,0
NCF,新闻资讯,0,0
有TA,聊天社交,0,0
三国杀,游戏,5,31270
i代,金融理财,5,557
饥饿岛,游戏,3,280
Mr.Up,体育运动,0,0
nice,时尚购物,5,2727
1440,聊天社交,0,0
WoFit,体育运动,0,0
UICN,聊天社交,0,0
YuOS,居家生活,0,0
Cliq,聊天社交,0,2
Uki,聊天社交,5,2341
O计,金融理财,0,0
英雄杀,游戏,2,4845
KDI,实用工具,0,0
TIOT,居家生活,0,0
VUP,体育运动,0,0
梦门,游戏,4.5,207
ME,聊天社交,5,4980
问道,游戏,4,7424
23,时尚购物,0,0
街篮,游戏,3,2023
招商银行,金融理财,4,2085
中国天气,居家生活,2.5,77
MovingMovie,影音视听,0,0
万豪管家,体育运动,0,0
SCP基金会,图书阅读,0,0
智配汽配,时尚购物,0,0
北京现代,旅行交通,1,13
掷骰子,娱乐消遣,0,0
号角声,娱乐消遣,0,0
电子通,新闻资讯,0,0
iVMS-5060,影音视听,0,0
店家婆,效率办公,0,0
农技汇,效率办公,0,0
百戏通,影音视听,0,1
掌易行,金融理财,0,0
爱武艺,体育运动,0,1
好汽配,时尚购物,4.5,100
爱活力,体育运动,4,123
工匠行,实用工具,0,0
嘉石榴,金融理财,5,633
秀拍客,摄影摄像,2.5,17
优美师,实用工具,0,0
由你点,居家生活,0,0
全城VIP,聊天社交,0,0
XTransfer,实用工具,0,0
亿管家,实用工具,0,0
有利网,金融理财,3,989
御美行,医疗健康,0,0
亚亿雅,时尚购物,0,0
DJI GO 4,影音视听,0,1
闽电通,实用工具,0,0
会泽M,新闻资讯,0,0
兴社区,居家生活,0,0
55海淘,时尚购物,5,232
帮车宝,旅行交通,0,0
聚脉通,实用工具,0,0
天美贷,金融理财,0,0
金葫芦,金融理财,0,3
探球网,体育运动,0,0
vInClass,学习教育,0,0
1药网,医疗健康,2,2957
球友圈,体育运动,4,10
NY平台,聊天社交,0,0
哒卡乐,居家生活,0,0
小创,学习教育,0,0
奇趣,娱乐消遣,0,0
月圆之夜,游戏,4,628
撕歌,影音视听,0,1
Dollsky,聊天社交,0,0
ArtPro,实用工具,0,0
卡影,摄影摄像,0,0
Cages,娱乐消遣,0,0
约乎,聊天社交,0,0
掌嗨,聊天社交,0,0
闪送,居家生活,5,3721
嗷嗷,时尚购物,0,0
简拼,摄影摄像,4.5,5161
微广,图书阅读,0,1
必要,时尚购物,5,1425
田丁,居家生活,1.5,7
橙瓜,聊天社交,2,12
贴福,居家生活,0,0
信趣,聊天社交,0,0
试镜,摄影摄像,0,1
嗨读,图书阅读,0,0
哈品,时尚购物,0,0
HARDfit,体育运动,0,0
利器,实用工具,0,1
遇恋,聊天社交,0,0
花夏,聊天社交,0,0
偶爸,时尚购物,0,0
哗聊,聊天社交,0,0
连客,旅行交通,0,0
店POS,居家生活,0,3
康昔,体育运动,0,2
走呗,体育运动,0,0
蜜熊,聊天社交,0,0
去探,聊天社交,0,0
幕布,效率办公,4,114
集燊,时尚购物,0,0
英魂之刃,游戏,3.5,7310
弥淘,时尚购物,0,0
咚咚,聊天社交,0,0
即右,聊天社交,0,0
烹客,居家生活,0,0
寞聊,聊天社交,0,0
速播,聊天社交,0,0
记路,实用工具,0,0
体语,医疗健康,0,0
维拍,摄影摄像,0,0
HryFine,体育运动,0,0
多点,时尚购物,4,530
玩吧,聊天社交,5,58914
耀你,影音视听,0,0
街逛,时尚购物,0,0
伴读,图书阅读,0,1
宠酱,聊天社交,0,0
会合,聊天社交,0,0
花嫁,时尚购物,0,0
藏玉,时尚购物,4,5
微陌,聊天社交,0,0
算命,娱乐消遣,5,14745
惠店,时尚购物,0,0
TeamU,体育运动,5,66
BesTV,影音视听,3,60
keye,影音视听,0,0
Chope,居家生活,0,1
CUTV,新闻资讯,0,1
Place,摄影摄像,3.5,23
青鸾,聊天社交,0,0
Ronin,摄影摄像,0,0
FIoT,效率办公,0,0
YoTok,聊天社交,0,0
Yo聊,聊天社交,0,0
JKlive,聊天社交,0,0
伴缘,聊天社交,0,0
齐家,居家生活,5,3783
必返,时尚购物,0,0
TFit,医疗健康,0,0
Yippi,聊天社交,0,0
TOKIT,居家生活,0,0
唯赛,摄影摄像,0,0
51VV,影音视听,3.5,35
WeRed,聊天社交,0,0
Tefiti,体育运动,0,0
FUNJI,聊天社交,0,0
yeedi,实用工具,0,0
吉家,居家生活,4.5,20
一目,居家生活,0,1
V服,实用工具,0,0
Meeu,聊天社交,0,0
PK虎,体育运动,0,0
WIDE,摄影摄像,3.5,265
Nike,时尚购物,0,0
ERBI,实用工具,0,0
Pic+,摄影摄像,0,0
V篇,聊天社交,5,116
POLY,摄影摄像,4,114
Here,聊天社交,0,0
iDay,实用工具,0,0
AIDO,实用工具,0,0
FIMO,摄影摄像,0,0
UKR,聊天社交,0,0
MONO,图书阅读,4,810
食物语,游戏,0,0
Pott,摄影摄像,0,0
橙,聊天社交,0,0
2U,聊天社交,0,0
PPA,摄影摄像,0,0
92,聊天社交,0,0
VN,摄影摄像,0,3
匠木,游戏,0,0
崩坏3,游戏,4.5,5576
墨魂,游戏,0,0
数独,游戏,5,91920
风,游戏,0,0
上海外服,效率办公,0,0
文都网校,学习教育,5,185
玉州党群,效率办公,0,0
每日一股,金融理财,3.5,8
库可云车,旅行交通,0,0
新品头条,新闻资讯,0,0
百变福星,摄影摄像,0,0
民泰银行,金融理财,4.5,6
匀采匀达,时尚购物,0,0
货比商家,时尚购物,0,0
海拓五金,时尚购物,0,0
蚂蚁摄影,学习教育,0,2
光彩出行,旅行交通,0,0
华彩人生,金融理财,5,148
杰健出行,旅行交通,0,0
美宸健业,时尚购物,0,0
碧声云,效率办公,0,0
中阳云,效率办公,0,0
2号星球,摄影摄像,0,0
鑫机缘,新闻资讯,0,2
事事明,效率办公,0,1
求索CRM,效率办公,0,0
脉搜搜,效率办公,0,0
吉客云,效率办公,0,0
药师帮,医疗健康,5,11
轻微课,学习教育,4,5
爱病理,医疗健康,0,1
JJ直播,影音视听,0,0
两河汇,时尚购物,0,1
绿豆芽,聊天社交,0,1
一指蟾,居家生活,0,0
河狸家,时尚购物,3.5,48
美妍贷,金融理财,0,0
万视通,聊天社交,0,0
易房宝,居家生活,0,0
阳光FM,影音视听,0,4
点实惠,摄影摄像,0,0
风信购,时尚购物,0,0
友房通,实用工具,0,0
爱友缘,聊天社交,0,0
华住会,旅行交通,1.5,1677
吉悦动,体育运动,0,0
米课圈,聊天社交,0,0
药京采,医疗健康,0,1
发型屋,摄影摄像,5,1786
博金贷,金融理财,5,89
大商圈,时尚购物,0,0
电安心,效率办公,0,0
二手集,时尚购物,0,4
垃圾宝,实用工具,0,0
店店店,时尚购物,0,0
懒赚宝,时尚购物,0,0
马克巴,居家生活,4,33
GIF相机,摄影摄像,0,0
趣鹿途,旅行交通,0,0
睦合达,体育运动,3.5,110
买文具,时尚购物,0,0
店之家,居家生活,0,0
乾贷网,金融理财,0,1
碧有信,金融理财,3.5,7
长乐帮,聊天社交,0,0
淘加油,时尚购物,0,0
山海菁,时尚购物,0,0
球友汇,体育运动,0,0
甜悦读,图书阅读,0,0
微热点,效率办公,5,6
